id,store_url,domain,platform,source
159,https://trypp.myshopify.com,trypp.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
160,https://kirstenmuenster.myshopify.com,kirstenmuenster.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
161,https://vilago.myshopify.com,vilago.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
162,https://smartermatters.myshopify.com,smartermatters.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
163,https://metadot.myshopify.com,metadot.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
164,https://stup.myshopify.com,stup.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
165,https://eurocss.myshopify.com,eurocss.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
166,https://virtualkid.myshopify.com,virtualkid.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
167,https://moresolutions.myshopify.com,moresolutions.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
168,https://woobiebath.myshopify.com,woobiebath.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
169,https://kwmr.myshopify.com,kwmr.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
170,https://boeboe.myshopify.com,boeboe.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
171,https://preston.myshopify.com,preston.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
172,https://ethanator101.myshopify.com,ethanator101.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
173,https://wish.myshopify.com,wish.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
174,https://tietuesdays.myshopify.com,tietuesdays.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
175,https://gold.myshopify.com,gold.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
176,https://designquest.myshopify.com,designquest.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
177,https://tomoaki.myshopify.com,tomoaki.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
178,https://truegraphik.myshopify.com,truegraphik.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
179,https://invasion.myshopify.com,invasion.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
180,https://bgramer.myshopify.com,bgramer.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
181,https://gems.myshopify.com,gems.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
182,https://ukiyo.myshopify.com,ukiyo.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
183,https://towerkraut.myshopify.com,towerkraut.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
184,https://montgomery.myshopify.com,montgomery.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
185,https://xurde.myshopify.com,xurde.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
186,http://www.yarnzen.com,www.yarnzen.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
187,https://adaptive.myshopify.com,adaptive.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
188,https://z720.myshopify.com,z720.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
189,https://dmlab.myshopify.com,dmlab.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
190,https://greatbeershirts.myshopify.com,greatbeershirts.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
191,https://milus.myshopify.com,milus.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
192,https://nyunet.myshopify.com,nyunet.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
193,https://monstermonster.myshopify.com,monstermonster.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
194,https://sidewalk.myshopify.com,sidewalk.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
195,https://hellcar.myshopify.com,hellcar.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
196,https://dinoinc.myshopify.com,dinoinc.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
197,https://smartproducts.myshopify.com,smartproducts.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
198,https://laquettecorse.myshopify.com,laquettecorse.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
199,https://hermitagegardens.myshopify.com,hermitagegardens.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
200,https://flesk.myshopify.com,flesk.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
201,https://loktech.myshopify.com,loktech.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
202,https://cosplay.myshopify.com,cosplay.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
203,https://notasausage.myshopify.com,notasausage.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
204,https://wmrx.myshopify.com,wmrx.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
205,https://brahma.myshopify.com,brahma.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
206,https://coupon.myshopify.com,coupon.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
207,https://jack.myshopify.com,jack.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
208,https://www.oybaby.com,www.oybaby.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
209,https://coupons.myshopify.com,coupons.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
210,https://getconnected.myshopify.com,getconnected.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
211,https://pxcomm.myshopify.com,pxcomm.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
212,https://bill.myshopify.com,bill.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
213,http://shop.megamvb.net,shop.megamvb.net,Shopify,GitHub Gist alexfilatov shopifystores.csv
214,https://allelectronics.myshopify.com,allelectronics.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
215,https://buyandsell.myshopify.com,buyandsell.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
216,https://domains.myshopify.com,domains.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
217,https://themacespace.myshopify.com,themacespace.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
218,https://sparkling.myshopify.com,sparkling.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
219,https://express.myshopify.com,express.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
220,https://starcarrier.myshopify.com,starcarrier.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
221,https://culturezoo.myshopify.com,culturezoo.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
222,https://betageek.myshopify.com,betageek.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
223,https://palmstedt.myshopify.com,palmstedt.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
224,https://marc.myshopify.com,marc.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
225,https://fusedmusic.myshopify.com,fusedmusic.myshopify.com,Shopify,GitHub Gist alexfilatov shopifystores.csv
